id,title,author,genre,series_name,bond_number,status,place,keywords,rating
"1,""Alice in Wonderland"",""Lewis Carroll"",Fantasy,NULL,NULL,read,home,""absurd, magic, adventure"",5"
"2,""Hard-Boiled Wonderland and the End of the World"",""Haruki Murakami"",""Science Fiction"",NULL,NULL,read,home,""multiverse, absurd, unicorn"",2"
"3,Neverwhere,""Neil Gaiman"",Fantasy,NULL,NULL,not_read,home,""fantasy, underground, London"",4"
"4,""The Sandman"",""Neil Gaiman"",Fantasy,""The Sandman Series"",1,read,Jinx,""fantasy, dream, mythology"",1"
"5,""American Gods"",""Neil Gaiman"",Fantasy,NULL,NULL,not_read,home,""fantasy, gods, mythology"",5"
"6,""The Secret History"",""Donna Tartt"",Mystery,NULL,NULL,read,home,""mystery, academia, thriller"",4"
"7,""The Picture of Dorian Gray"",""Oscar Wilde"",Classic,NULL,NULL,read,Jinx,""classic, beauty, moral corruption"",1"
"8,""Madame Bovary"",""Gustave Flaubert"",Classic,NULL,NULL,read,home,""classic, adultery, tragedy"",1"
"9,""The Divine Comedy"",""Dante Alighieri"",Classic,NULL,NULL,read,Yasuo,""classic, journey, afterlife"",4"
"10,""The Parfume"",""Patrick Süskind"",""Historical Fiction"",NULL,NULL,not_read,Lux,""historical fiction, fragrance, obsession"",1"
"11,""To Kill a Mockingbird"",""Harper Lee"",Classic,NULL,NULL,read,home,""classic, racism, moral growth"",3"
"12,""Of Mice and Men"",""John Steinbeck"",Classic,NULL,NULL,read,home,""classic, friendship, tragedy"",3"
"13,Hamlet,""William Shakespeare"",Tragedy,NULL,NULL,read,Lux,""tragedy, revenge, royalty"",3"
"14,""Romeo and Juliet"",""William Shakespeare"",Tragedy,NULL,NULL,read,home,""tragedy, love, conflict"",5"
"15,""The Red and the Black"",Stendhal,Classic,NULL,NULL,read,home,""classic, romance, politics"",3"
"16,""The Lost World"",""Arthur Conan Doyle"",Adventure,NULL,NULL,read,home,""adventure, exploration, dinosaurs"",4"
"17,""Don Quixote"",""Miguel de Cervantes"",Classic,NULL,NULL,read,Ahri,""classic, knight, chivalry"",5"
